"sample_ID","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width"
85,5.4,3,4.5,1.5
103,7.1,3,5.9,2.1
51,7,3.2,4.7,1.4
94,5,2.3,3.3,1
23,4.6,3.6,1,0.2
148,6.5,3,5.2,2
13,4.8,3,1.4,0.1
36,5,3.2,1.2,0.2
122,5.6,2.8,4.9,2
1,5.1,3.5,1.4,0.2
82,5.5,2.4,3.7,1
27,5,3.4,1.6,0.4
12,4.8,3.4,1.6,0.2
21,5.4,3.4,1.7,0.2
87,6.7,3.1,4.7,1.5
10,4.9,3.1,1.5,0.1
143,5.8,2.7,5.1,1.9
55,6.5,2.8,4.6,1.5
70,5.6,2.5,3.9,1.1
22,5.1,3.7,1.5,0.4
5,5,3.6,1.4,0.2
107,4.9,2.5,4.5,1.7
128,6.1,3,4.9,1.8
134,6.3,2.8,5.1,1.5
98,6.2,2.9,4.3,1.3
20,5.1,3.8,1.5,0.3
64,6.1,2.9,4.7,1.4
100,5.7,2.8,4.1,1.3
146,6.7,3,5.2,2.3
72,6.1,2.8,4,1.3
74,6.1,2.8,4.7,1.2
118,7.7,3.8,6.7,2.2
125,6.7,3.3,5.7,2.1
115,5.8,2.8,5.1,2.4
109,6.7,2.5,5.8,1.8
135,6.1,2.6,5.6,1.4
120,6,2.2,5,1.5
58,4.9,2.4,3.3,1
33,5.2,4.1,1.5,0.1
95,5.6,2.7,4.2,1.3
25,4.8,3.4,1.9,0.2
59,6.6,2.9,4.6,1.3
8,5,3.4,1.5,0.2
9,4.4,2.9,1.4,0.2
137,6.3,3.4,5.6,2.4
24,5.1,3.3,1.7,0.5
89,5.6,3,4.1,1.3
136,7.7,3,6.1,2.3
